SA2_NAME_2016,population,volunteer_perc,actual,predicted,misclassified
Daisy Hill,6636,14.96,0,0,
Kingston (Qld.),10412,9.02,0,0,
Logan Central,6136,9.89,0,0,
Rochedale South - Priestdale,15455,16.11,1,1,
Slacks Creek,10431,10.38,0,0,
Springwood,9278,14.23,0,0,
Underwood,6344,13.35,0,0,
Woodridge,12580,10.3,0,0,
Bowen,9100,15.72,1,1,
Broadsound - Nebo,8505,15.2,0,1,overestimated
Clermont,3697,20.61,1,1,
Collinsville,3460,15.8,1,1,
Moranbah,8735,15.12,0,0,
Andergrove - Beaconsfield,14910,13.44,0,0,
East Mackay,3573,16.9,1,1,
Eimeo - Rural View,12327,12.36,0,0,
Mackay,3655,13.84,0,0,
Mackay Harbour,518,16.4,1,1,
Mount Pleasant - Glenella,10708,17.87,1,1,
North Mackay,5999,14.9,0,0,
Ooralea - Bakers Creek,5034,13.13,0,0,
Pioneer Valley,8211,14.8,0,0,
Sarina,11616,14.83,0,0,
Seaforth - Calen,8126,16.87,1,1,
Shoal Point - Bucasia,5749,13.11,0,0,
Slade Point,3348,13.2,0,0,
South Mackay,6708,14.28,0,0,
Walkerston - Eton,8324,16.02,1,1,
West Mackay,6160,15.99,1,1,
Airlie - Whitsundays,12932,13.3,0,0,
Proserpine,8294,17.9,1,1,
Beachmere - Sandstone Point,14892,13.61,0,0,
Bribie Island,18145,15.29,0,0,
Burpengary - East,3967,12.73,0,0,
Caboolture,26825,10.66,0,0,
Caboolture - South,20344,9.59,0,0,
Elimbah,3962,13.14,0,0,
Morayfield - East,8433,9.96,0,0,
Wamuran,3928,14.4,0,0,
Kilcoy,5383,15.71,1,1,
Woodford - D'Aguilar,7851,14.04,0,1,overestimated
Burpengary,14022,13.24,0,0,
Deception Bay,22449,10.56,0,0,
Morayfield,4826,15.08,0,0,
Narangba,18575,13.05,0,0,
Upper Caboolture,3021,13.86,0,0,
Clontarf,8252,12.6,0,0,
Margate - Woody Point,11695,15.28,0,0,
Redcliffe,10161,13.37,0,0,
Rothwell - Kippa-Ring,17139,12.59,0,0,
Scarborough - Newport - Moreton Island,12226,16.26,1,1,
Albany Creek,15800,17.98,1,1,
Cashmere,18805,15.09,0,0,
Dayboro,8490,20.0,1,1,
Eatons Hill,7972,17.33,1,1,
The Hills District,23364,19.09,1,1,
Samford Valley,11757,22.59,1,1,
Dakabin - Kallangur,23929,11.38,0,0,
Murrumba Downs - Griffin,17519,11.56,0,0,
North Lakes - Mango Hill,30104,11.2,0,0,
Bray Park,10246,13.4,0,0,
Lawnton,6016,13.34,0,0,
Petrie,8689,16.15,1,1,
Strathpine - Brendale,12266,12.66,0,0,
Aurukun,1275,5.33,0,0,
Cape York,7516,14.08,0,0,
Croydon - Etheridge,1090,21.55,1,1,
Kowanyama - Pormpuraaw,1698,6.06,0,0,
Northern Peninsula,2796,15.09,0,0,
Tablelands,5981,15.46,0,0,
Torres,3612,11.9,0,0,
Torres Strait Islands,4517,12.3,0,0,
Weipa,3903,16.67,1,1,
Carpentaria,4828,9.63,0,0,
Mount Isa,18342,15.09,0,0,
Mount Isa Region,3357,15.81,1,1,
Northern Highlands,3124,24.51,1,1,
Barcaldine - Blackall,4765,28.26,1,1,
Charleville,4309,19.98,1,1,
Far Central West,2117,27.58,1,1,
Far South West,2803,24.65,1,1,
Longreach,3663,26.83,1,1,
Buderim - North,16616,18.96,1,1,
Buderim - South,16322,19.2,1,1,
Mountain Creek,11255,13.89,0,0,
Sippy Downs,10298,14.59,0,0,
Aroona - Currimundi,10072,16.54,1,1,
Buddina - Minyama,6428,16.27,1,1,
Caloundra - Kings Beach,6704,16.45,1,1,
Caloundra - West,20278,14.18,0,0,
Golden Beach - Pelican Waters,11851,16.54,1,1,
Moffat Beach - Battery Hill,7835,18.0,1,1,
Parrearra - Warana,9505,15.06,0,0,
Wurtulla - Birtinya,7838,15.33,0,0,
Coolum Beach,14590,16.3,1,1,
Marcoola - Mudjimba,10867,17.0,1,1,
Maroochydore - Kuluin,19163,14.94,0,0,
Mooloolaba - Alexandra Headland,11692,17.44,1,1,
Noosa Heads,4489,17.88,1,1,
Noosaville,8734,18.14,1,1,
Sunshine Beach,6530,17.33,1,1,
Tewantin,10306,15.81,1,1,
Peregian Beach - Marcus Beach,3755,19.25,1,1,
Peregian Springs,7340,13.56,0,0,
Beerwah,8201,15.52,0,0,
Caloundra Hinterland,8539,27.86,1,1,
Glass House Mountains,5838,16.87,1,1,
Landsborough,10140,15.33,0,0,
Maroochy Hinterland,6255,21.51,1,1,
Palmwoods,10612,20.29,1,1,
Bli Bli,8355,14.93,0,0,
Diddillibah - Rosemount,3766,20.2,1,1,
Eumundi - Yandina,10546,16.83,1,1,
Nambour,19961,17.39,1,1,
Noosa Hinterland,21851,18.34,1,1,
Cambooya - Wyreema,6961,16.62,1,0,underestimated
Darling Heights,13743,14.76,0,0,
Drayton - Harristown,10195,15.2,0,0,
Gatton,7431,16.52,1,1,
Gowrie (Qld),6413,14.23,0,0,
Highfields,13177,19.92,1,1,
Lockyer Valley - West,11361,17.97,1,1,
Middle Ridge,7142,21.42,1,1,
Newtown (Qld),9596,15.36,0,0,
North Toowoomba - Harlaxton,5738,15.58,0,0,
Rangeville,8309,21.38,1,1,
Toowoomba - Central,13375,16.74,1,0,underestimated
Toowoomba - East,9754,21.67,1,1,
Toowoomba - West,13004,14.71,0,0,
Wilsonton,13312,13.1,0,0,
Ayr,9097,17.15,1,1,
Burdekin,7916,18.96,1,1,
Charters Towers,8126,16.36,1,0,underestimated
Dalrymple,3755,19.36,1,1,
Ingham,4428,18.78,1,1,
Ingham Region,6454,21.59,1,1,
Palm Island,2443,5.64,0,0,
Aitkenvale,4792,15.85,1,0,underestimated
Annandale,10066,17.32,1,1,
Belgian Gardens - Pallarenda,3284,18.69,1,1,
Bohle Plains,7235,13.69,0,0,
Condon - Rasmussen,10476,11.98,0,0,
Cranbrook,5913,16.84,1,1,
Deeragun,22405,10.27,0,0,
Douglas,7741,21.88,1,1,
Garbutt - West End,6532,14.26,0,0,
Gulliver - Currajong - Vincent,7728,13.91,0,0,
Heatley,4036,14.04,0,0,
Hermit Park - Rosslea,5151,15.7,1,1,
Hyde Park - Pimlico,4650,15.63,0,0,
Kelso,10627,11.13,0,0,
Kirwan - East,7818,13.73,0,0,
Kirwan - West,15555,14.93,0,0,
Magnetic Island,2342,22.67,1,1,
Mount Louisa,9260,15.28,0,0,
Mundingburra,3625,18.37,1,1,
Northern Beaches,6363,12.46,0,0,
Oonoonba,6552,14.46,0,0,
South Townsville - Railway Estate,5209,15.81,1,1,
Townsville - South,4300,16.79,1,1,
Townsville City - North Ward,9053,20.19,1,1,
Wulguru - Roseneath,6098,11.28,0,0,
Ashfield - Kepnock,5228,14.99,0,0,
Bargara - Burnett Heads,16595,17.14,1,1,
Branyan - Kensington,4706,15.42,0,0,
Bundaberg,6122,12.62,0,0,
Bundaberg East - Kalkie,5473,17.13,1,0,underestimated
Bundaberg North - Gooburrum,7217,14.52,0,0,
Bundaberg Region - North,8866,15.26,0,1,overestimated
Bundaberg Region - South,9837,15.55,0,0,
Millbank - Avoca,7417,13.52,0,0,
Svensson Heights - Norville,5613,14.23,0,0,
Walkervale - Avenell Heights,10696,14.59,0,0,
Gayndah - Mundubbera,6657,21.49,1,1,
Gin Gin,5115,17.49,1,1,
Kingaroy,10288,18.35,1,0,underestimated
Kingaroy Region - North,9570,17.7,1,1,
Kingaroy Region - South,3922,21.41,1,1,
Monto - Eidsvold,3830,23.49,1,1,
Nanango,9679,15.96,1,1,
Cooloola,6265,15.17,0,0,
